Messe;Halle;Sektor;Standnummer;Kunde;Kommission;Auftragsmenge;Kurztext;Interner Text;Artikel-Nr.;Liefertermin (Möbel);Uhrzeit Lieferung;Kontakt vor Ort;Obergruppe;Verantwortlich;Nummer;Veranstaltungsbeginn;Datum;Person/Zeichen;Auftragsart
infotage FACHDENTAL Stuttgart 2026;?;XX;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Susanne Mameghani;552107;16.10.2026;20.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;1,00;Thekenschrank PURO COUNTER, weiß;;1388;;;;Möbel;Susanne Mameghani;552083;06.11.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;für Platte 120x60;2072;;;;Möbel;Susanne Mameghani;552083;06.11.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;1,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Susanne Mameghani;552083;06.11.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;4,00;Barhocker LEM weiß;;1022;;;;Möbel;Susanne Mameghani;552083;06.11.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;1,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Susanne Mameghani;552083;06.11.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Frank Dental;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Susanne Mameghani;552083;06.11.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70 rund weiß;2057;;;;Möbel;Susanne Mameghani;551573;06.11.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;NINO 70 Tischplatte rund weiß;für Stehtischgestell chrom;2061;;;;Möbel;Susanne Mameghani;551573;06.11.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;2,00;Barhocker ZETT schwarz;in Stehgruppe;1003;;;;Möbel;Susanne Mameghani;551573;06.11.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;Barhocker ZETT schwarz;;1003;;;;Möbel;Susanne Mameghani;551573;06.11.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Susanne Mameghani;551573;06.11.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Frankfurt 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;Bartheke OCTA BAR;mit Schiebetüren;1283;;;;Möbel;Susanne Mameghani;551573;06.11.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70 rund weiß;2057;;;;Möbel;Susanne Mameghani;551574;16.10.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;NINO 70 Tischplatte rund weiß;für Stehtischgestell chrom;2061;;;;Möbel;Susanne Mameghani;551574;16.10.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;2,00;Barhocker ZETT schwarz;in Stehgruppe;1003;;;;Möbel;Susanne Mameghani;551574;16.10.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;Barhocker ZETT schwarz;;1003;;;;Möbel;Susanne Mameghani;551574;16.10.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;Prospektständer LEGIO 30;;1154;;;;Möbel;Susanne Mameghani;551574;16.10.2026;08.12.2025;Julia Walch;Standbau
infotage FACHDENTAL Stuttgart 2026;?;;?;Chemische Fabrik Dr. Weigert GmbH & Co. KG, Hamburg;3x2 Ecke;1,00;Bartheke OCTA BAR;mit Schiebetüren;1283;;;;Möbel;Susanne Mameghani;551574;16.10.2026;08.12.2025;Julia Walch;Standbau
ABC Salon 2026, MOC;?;;A108;DB Marlen, Zychlin;;5,00;Multiständer MONO (mit 1 Stange);MONO (mit 1 Stange);1533;;;;Möbel;Sophia Kistler;551851;01.03.2026;12.01.2026;Sophia Kistler;Möbel
ABC Salon 2026, MOC;?;;A108;DB Marlen, Zychlin;;6,00;Stuhl MUNICH anthrazit;;1214;;;;Möbel;Sophia Kistler;551851;01.03.2026;12.01.2026;Sophia Kistler;Möbel
ABC Salon 2026, MOC;?;;A108;DB Marlen, Zychlin;;2,00;MUNICH 70x70 Platte weiß;chrom;2045;;;;Möbel;Sophia Kistler;551851;01.03.2026;12.01.2026;Sophia Kistler;Möbel
ABC Salon 2026, MOC;?;;A108;DB Marlen, Zychlin;;2,00;MUNICH 70x70 Tischgestell, chrom;;2043;;;;Möbel;Sophia Kistler;551851;01.03.2026;12.01.2026;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;A02;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Kenvue/Listerine;1,00;Thekenschrank PURO COUNTER, weiß;mit MR Grafik;1388;;;;Möbel;Susanne Mameghani;551684;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A02;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Kenvue/Listerine;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70x70cm weiß;2057;;;;Möbel;Susanne Mameghani;551684;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A02;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Kenvue/Listerine;1,00;ENNO 70x70 Tischplatte weiß;für Stehtisch;2062;;;;Möbel;Susanne Mameghani;551684;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A02;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Kenvue/Listerine;2,00;Barhocker KUADRA BAR weiß;;1540;;;;Möbel;Susanne Mameghani;551684;27.02.2026;07.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A08;lege artis Pharma GmbH + Co. KG, Dettenhausen;;2,00;Stuhl KUADRA weiß;;1539;;;;Möbel;Susanne Mameghani;551364;27.02.2026;23.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A08;lege artis Pharma GmbH + Co. KG, Dettenhausen;;1,00;Tischvitrine VITREO CAB 145;;1508;;;;Möbel;Susanne Mameghani;551364;27.02.2026;23.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A19;A. Schweickhardt GmbH & Co. KG, Seitingen-Oberflacht;;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70 rund weiß;2057;;;;Möbel;Susanne Mameghani;551357;27.02.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A19;A. Schweickhardt GmbH & Co. KG, Seitingen-Oberflacht;;1,00;NINO 70 Tischplatte rund weiß;für Stehtischgestell chrom;2061;;;;Möbel;Susanne Mameghani;551357;27.02.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A19;A. Schweickhardt GmbH & Co. KG, Seitingen-Oberflacht;;2,00;Barhocker ZETT schwarz;in Stehgruppe;1003;;;;Möbel;Susanne Mameghani;551357;27.02.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;A30;dental 2000 Full-Service-Center GmbH & Co. KG, Jena;;1,00;Bartheke OCTA BAR;mit Schiebetüren;1283;;;;Möbel;Sophia Kistler;552155;27.02.2026;22.01.2026;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;B02;Normec Valitech GmbH & Co. KG, Falkensee;;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70 rund weiß;2057;;;;Möbel;Sophia Kistler;551248;27.02.2026;17.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;B02;Normec Valitech GmbH & Co. KG, Falkensee;;1,00;NINO 70 Tischplatte rund weiß;für Stehtischgestell chrom;2061;;;;Möbel;Sophia Kistler;551248;27.02.2026;17.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;B02;Normec Valitech GmbH & Co. KG, Falkensee;;2,00;Barhocker ZETT schwarz;in Stehgruppe;1003;;;;Möbel;Sophia Kistler;551248;27.02.2026;17.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;B02;Normec Valitech GmbH & Co. KG, Falkensee;;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Sophia Kistler;551248;27.02.2026;17.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;B16;MIB Medizin, Information & Beratung GmbH, Münster;MIB/Intern. Medical College Uni. Duisburg-Essen;2,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70 rund weiß;2057;;;;Möbel;Susanne Mameghani;552089;27.02.2026;20.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;B16;MIB Medizin, Information & Beratung GmbH, Münster;MIB/Intern. Medical College Uni. Duisburg-Essen;2,00;NINO 70 Tischplatte rund weiß;für Stehtischgestell chrom;2061;;;;Möbel;Susanne Mameghani;552089;27.02.2026;20.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;B16;MIB Medizin, Information & Beratung GmbH, Münster;MIB/Intern. Medical College Uni. Duisburg-Essen;4,00;Barhocker ZETT schwarz;in Stehgruppe;1003;;;;Möbel;Susanne Mameghani;552089;27.02.2026;20.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;XX;B18;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Project Floors GmbH;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70x70cm weiß;2057;;;;Möbel;Susanne Mameghani;551823;27.02.2026;08.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;XX;B18;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Project Floors GmbH;1,00;ENNO 70x70 Tischplatte weiß;für Stehtisch;2062;;;;Möbel;Susanne Mameghani;551823;27.02.2026;08.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;XX;B18;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Project Floors GmbH;2,00;Barhocker KUADRA BAR weiß;;1540;;;;Möbel;Susanne Mameghani;551823;27.02.2026;08.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;XX;B18;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;Project Floors GmbH;1,00;Thekenschrank PURO COUNTER, weiß;mit MR Grafik;1388;;;;Möbel;Susanne Mameghani;551823;27.02.2026;08.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;B18;PROJECT FLOORS GmbH, Frechen;;1,00;Prospektständer FILO;;1157;;;;Möbel;Susanne Mameghani;551824;27.02.2026;08.01.2026;Julia Walch;Zusatz
infotage FACHDENTAL Leipzig 2026;01;;B22;Bajohr OPTECmed GmbH, Einbeck;;4,00;LEVANTE HIGH Fuß Höhe 110cm weiß;;2072;;;;Möbel;Sophia Kistler;551579;27.02.2026;09.12.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;B22;Bajohr OPTECmed GmbH, Einbeck;;2,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Sophia Kistler;551579;27.02.2026;09.12.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;B22;Bajohr OPTECmed GmbH, Einbeck;;6,00;Sideboard PURO;;1383;;;;Möbel;Sophia Kistler;551579;27.02.2026;09.12.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;C04;MEGADENTA Dentalprodukte GmbH, Radeberg;;2,00;Tischvitrine VITREO CAB 145;;1508;;;;Möbel;Sophia Kistler;551990;27.02.2026;19.01.2026;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;C04;MEGADENTA Dentalprodukte GmbH, Radeberg;;1,00;Schrankvitrine VERDI 50 Ganzglas;;1501;;;;Möbel;Sophia Kistler;551990;27.02.2026;19.01.2026;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;XX;C04;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;MEGADENTA;1,00;Thekenschrank PURO COUNTER, weiß;mit MR Grafik;1388;;;;Möbel;Susanne Mameghani;551250;27.02.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;XX;C04;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;MEGADENTA;1,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70x70cm weiß;2057;;;;Möbel;Susanne Mameghani;551250;27.02.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;XX;C04;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;MEGADENTA;1,00;ENNO 70x70 Tischplatte weiß;für Stehtisch;2062;;;;Möbel;Susanne Mameghani;551250;27.02.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;XX;C04;Landesmesse Stuttgart GmbH & Co. KG, Stuttgart;MEGADENTA;2,00;Barhocker KUADRA BAR weiß;;1540;;;;Möbel;Susanne Mameghani;551250;27.02.2026;19.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;C16;DAISY Akademie + Verlag GmbH, Eppelheim;;2,00;Barhocker ZETT schwarz;;1003;;;;Möbel;Jan Ressel;551832;27.02.2026;09.01.2026;Jan Ressel;Möbel
SicherheitsExpo 2026, MOC;01;;C19;IDENTA AUSWEISSYSTEME GMBH;;1,00;Schrankvitrine VERDI 50 Ganzglas;;1501;;;;Möbel;Karin Stamm;551772;01.07.2026;09.01.2026;Julia Walch;Standbau
SicherheitsExpo 2026, MOC;01;;C19;IDENTA AUSWEISSYSTEME GMBH;;4,00;Barhocker KUADRA BAR weiß;;1540;;;;Möbel;Karin Stamm;551772;01.07.2026;09.01.2026;Julia Walch;Standbau
SicherheitsExpo 2026, MOC;01;;C19;IDENTA AUSWEISSYSTEME GMBH;;2,00;Stehtisch YPSILON HIGH weiß;;1473;;;;Möbel;Karin Stamm;551772;01.07.2026;09.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;01;;C43;CrownDental.AI GmbH, Wien;;2,00;Barhocker ZETT schwarz;;1003;;;;Möbel;Sophia Kistler;551850;27.02.2026;12.01.2026;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;C43;CrownDental.AI GmbH, Wien;;1,00;Infotheke OCTA INFO 108 silber mit Türen;;1362;;;;Möbel;Sophia Kistler;551850;27.02.2026;12.01.2026;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;01;;D39;Wawibox | caprimed GmbH, Heidelberg;;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;;2072;;;;Möbel;Jan Ressel;551754;27.02.2026;05.01.2026;Jan Ressel;Möbel
infotage FACHDENTAL Leipzig 2026;01;;D39;Wawibox | caprimed GmbH, Heidelberg;;1,00;LEVANTE 120x60 Platte weiß;für Stehtisch;2074;;;;Möbel;Jan Ressel;551754;27.02.2026;05.01.2026;Jan Ressel;Möbel
infotage FACHDENTAL Leipzig 2026;01;;D39;Wawibox | caprimed GmbH, Heidelberg;;1,00;Garderobenständer DONNA;;1049;;;;Möbel;Jan Ressel;551754;27.02.2026;05.01.2026;Jan Ressel;Möbel
infotage FACHDENTAL Leipzig 2026;01;;D39;Wawibox | caprimed GmbH, Heidelberg;;4,00;Barhocker VOLT BAR weiß;;1033;;;;Möbel;Jan Ressel;551754;27.02.2026;05.01.2026;Jan Ressel;Möbel
RETRO CLASSICS Stuttgart 2026;01;;G80;AFAG  Messen und Ausstellungen GmbH, Wendelstein;Restaurant/Presse;1,00;LEVANTE 220x60 Platte weiß;für Stehtisch;2089;;;;Möbel;Karin Stamm;552207;19.02.2026;23.01.2026;Julia Walch;Möbel
RETRO CLASSICS Stuttgart 2026;01;;G80;AFAG  Messen und Ausstellungen GmbH, Wendelstein;Restaurant/Presse;2,00;LEVANTE HIGH Fuß Höhe 110cm weiß;;2072;;;;Möbel;Karin Stamm;552207;19.02.2026;23.01.2026;Julia Walch;Möbel
RETRO CLASSICS Stuttgart 2026;01;;G80;AFAG  Messen und Ausstellungen GmbH, Wendelstein;Restaurant/Presse;36,00;Barhocker KUADRA BAR weiß;;1540;;;;Möbel;Karin Stamm;552207;19.02.2026;23.01.2026;Julia Walch;Möbel
Jagen und Fischen 2026, Augsburg;01;;I15;Messe Augsburg;Showküche;1,00;Kühlschrank COOL M (140);weiß/grau;1100;12.01.2026;;;Möbel;Julian Micheli;551718;16.01.2026;18.12.2025;Julia Walch;Standbau
RETRO CLASSICS Stuttgart 2026;01;;K10;COMCO Leasing GmbH, Essen;;2,00;NINO/ENNO Stehtischgestell H 110cm, chrom;für Platte 70x70cm weiß;2057;;;;Möbel;Sophia Kistler;552178;19.02.2026;22.01.2026;Sophia Kistler;Möbel
RETRO CLASSICS Stuttgart 2026;01;;K10;COMCO Leasing GmbH, Essen;;2,00;ENNO 70x70 Tischplatte weiß;für Stehtisch;2062;;;;Möbel;Sophia Kistler;552178;19.02.2026;22.01.2026;Sophia Kistler;Möbel
RETRO CLASSICS Stuttgart 2026;01;;K10;COMCO Leasing GmbH, Essen;;4,00;Barhocker KUADRA BAR weiß;;1540;;;;Möbel;Sophia Kistler;552178;19.02.2026;22.01.2026;Sophia Kistler;Möbel
RETRO CLASSICS Stuttgart 2026;01;;K10;Baiersbronn Touristik, Baiersbronn;;1,00;Bartheke OCTA BAR;mit Schiebetüren;1283;;;;Möbel;Sophia Kistler;551922;19.02.2026;15.01.2026;Sophia Kistler;Möbel
RETRO CLASSICS Stuttgart 2026;01;;K10;Baiersbronn Touristik, Baiersbronn;;1,00;Infotheke OCTA INFO 108 silber mit Türen;;1362;;;;Möbel;Sophia Kistler;551922;19.02.2026;15.01.2026;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;02;;A01;Eastend Communications GmbH, Hamburg;Procter & Gamble;1,00;Stuhl MUNICH schwarz;;1219;;;;Möbel;Susanne Mameghani;551600;27.02.2026;14.01.2026;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;02;;A01;Eastend Communications GmbH, Hamburg;Procter & Gamble;2,00;Tisch MILANO weiß;;1465;;;;Möbel;Susanne Mameghani;551600;27.02.2026;14.01.2026;Julia Walch;Standbau
Cosmetic Business 2026, MOC;02;;A18;Fairnet GmbH, Leipzig;Erbslöh;1,00;Thekenschrank PURO COUNTER, weiß;Grafik;1388;;;;Möbel;Melanie Eiblmeier;551385;10.06.2026;24.11.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;02;;A18;Fairnet GmbH, Leipzig;Erbslöh;1,00;Barhocker HAY BAR weiß;;1027;;;;Möbel;Melanie Eiblmeier;551385;10.06.2026;24.11.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;02;;A18;Fairnet GmbH, Leipzig;Erbslöh;1,00;NINO 70 Tischplatte rund weiß;für Sitztisch, chrom;2061;;;;Möbel;Melanie Eiblmeier;551385;10.06.2026;24.11.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;02;;A18;Fairnet GmbH, Leipzig;Erbslöh;1,00;NINO/ENNO Sitztischgestell H75cm, chrom;;2055;;;;Möbel;Melanie Eiblmeier;551385;10.06.2026;24.11.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;02;;A18;Fairnet GmbH, Leipzig;Erbslöh;4,00;Stuhl HAY weiß;;1263;;;;Möbel;Melanie Eiblmeier;551385;10.06.2026;24.11.2025;Julia Walch;Standbau
Cosmetic Business 2026, MOC;02;;A18;Fairnet GmbH, Leipzig;Erbslöh;1,00;Papierkorb DUSTIN schwarz;;1189;;;;Möbel;Melanie Eiblmeier;551385;10.06.2026;24.11.2025;Julia Walch;Standbau
infotage FACHDENTAL Leipzig 2026;02;;A19;Dexcel Pharma GmbH, Alzenau;;3,00;Barhocker LOX schwarz;;1026;;;;Möbel;Sophia Kistler;551400;27.02.2026;25.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;02;;A19;Dexcel Pharma GmbH, Alzenau;;1,00;NINO/ENNO DARK Stehtischgestell H 110cm, schwarz;für Platte 70cm rund schwarz;2109;;;;Möbel;Sophia Kistler;551400;27.02.2026;25.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;02;;A19;Dexcel Pharma GmbH, Alzenau;;1,00;NINO 70 Tischplatte rund schwarz;für Stehtischgestell schwarz;2059;;;;Möbel;Sophia Kistler;551400;27.02.2026;25.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;02;;A19;Dexcel Pharma GmbH, Alzenau;;1,00;Tischvitrine VITREO CAB 145;;1508;;;;Möbel;Sophia Kistler;551400;27.02.2026;25.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;02;;A19;Dexcel Pharma GmbH, Alzenau;;1,00;Prospektständer FILO;;1157;;;;Möbel;Sophia Kistler;551400;27.02.2026;25.11.2025;Sophia Kistler;Möbel
infotage FACHDENTAL Leipzig 2026;02;;A19;Dexcel Pharma GmbH, Alzenau;;1,00;Garderobenständer DONNA;;1049;;;;Möbel;Sophia Kistler;551400;27.02.2026;25.11.2025;Sophia Kistler;Möbel
