Kunde/Lieferant;Kommission;Liefertermin (Möbel);Halle;Sektor;Standnummer;Artikel-Nr.;Liefermenge;Einheit;Kurztext;Langtext;zusatzinfo Lieferschein Position;Ansprechpartner Kunde;Verantwortlich intern;Lieferschein Nummer;Lieferschein Datum;Artikel Obergruppe;lieferschein Notiz;Messe;Art;Person/Zeichen;Kopfprojektnummer;Veranstaltungsbeginn;Veranstaltungsende;Abholtermin;Begründung Liefersperre;NICHT liefern;Uhrzeit Lieferung;Lieferort;Kontakt vor Ort
Meplan, München;Metamorph GmbH;;09; ;C51;2051;1,00;x;MUNICH 110x70 Platte weiß;MUNICH 110x70 Tischplatte weiß;für Gestell 110x70 weiß;Isabel Rank;Melanie Eiblmeier;633821;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Metamorph GmbH;;09; ;C51;1219 | 500;4,00;Stück;Stuhl MUNICH schwarz;"MUNICH Polsterstuhl, schwarz Polster, 
Chrom, BxTxH: 51x56x85cm, SH: 45cm";;Isabel Rank;Melanie Eiblmeier;633821;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Metamorph GmbH;;09; ;C51;2049;1,00;x;MUNICH 110x70 Tischgestell, chrom;MUNICH 110x70 Tischgestell chrom;für Platte 110x70 weiß;Isabel Rank;Melanie Eiblmeier;633821;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Meplan, München;Boda Games Manufacturing;;10.0; ;C13;1362 | 201;1,00;Stück;Infotheke OCTA INFO 108 silber mit Türen;"OCTA INFO Infotheke mit Schiebetüren, weiß
versperrbar, Rahmen Alu natur
BxTxH: 103x52x108cm";mit Schiebetüren;Qinglian Xu;Melanie Eiblmeier;633818;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | HL 15.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1214;2,00;pcs;Stuhl MUNICH anthrazit;"Chair MUNICH anthracite, upholstery 
chrome plated, 51-56x85 cm, sh 45 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2045;1,00;x;MUNICH 70x70 Platte weiß;MUNICH 70x70 Tischplatte weiß;für Gestell 70x70 chrom;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1184;2,00;pcs;Müllsackständer TRASH;"Trash bag stand incl. 5 trash bags à 120l
Ø 40x75 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1091;3,00;pcs;Flaschenkühlschrank BOTTLE L Glass;"BOTTLE L glass bottle refrigerator 
with glass door, lockable, capacity 360l,
WxDxH: 60x60x160cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1184;2,00;pcs;Müllsackständer TRASH;"Trash bag stand incl. 5 trash bags à 120l
Ø 40x75 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2054;1,00;x;MUNICH 130x70 Platte weiß;MUNICH 130x70 Tischplatte weiß;für Gestell 130x70 chrom;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1049;1,00;pc;Garderobenständer DONNA;"Coat stand DONNA, satin stainless steel
Ø 40x186 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2043;1,00;x;MUNICH 70x70 Tischgestell, chrom;MUNICH 70x70 Tischgestell chrom;für Platte 70x70 weiß;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1214;1,00;pc;Stuhl MUNICH anthrazit;"Chair MUNICH anthracite, upholstery 
chrome, plated, 51-56x85 cm, sh 45 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2052;1,00;x;MUNICH 130x70 Tischgestell, chrom;MUNICH 130x70 Tischgestell chrom;für Platte 130x70 weiß;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2086;1,00;x;MUNICH 160x70 Tischgestell, chrom;MUNICH 160x70 Tischgestell chrom;für Platte 160x70 weiß;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1214;38,00;pcs;Stuhl MUNICH anthrazit;"Chair MUNICH anthracite, upholstery 
chrome plated, 51-56x85 cm, sh 45 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2063;8,00;x;ENNO 160x70 Platte schwarz;ENNO 160x70 Tischplatte schwarz;;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1176;200,00;pcs;Kleiderbügel mit Steg;Coat-hanger for clothing rail;;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2086;2,00;x;MUNICH 160x70 Tischgestell, chrom;MUNICH 160x70 Tischgestell chrom;für Tischplatten 180x75cm (K3343);Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1011;14,00;pcs;Barhocker MIURA weiß;"MIURA barstool white, plastic, stackable
WxDxH: 47x40x81cm, SH: 78cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2052;1,00;x;MUNICH 130x70 Tischgestell, chrom;MUNICH 130x70 Tischgestell chrom;für Platte 130x70 weiß;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1049;1,00;pc;Garderobenständer DONNA;"Coat stand DONNA, satin stainless steel
Ø 40x186 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;(MÖB Div);1,00;pc;[Möbel Div];Hanging mirror;kauft FAW bei IKEA, wj;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2086;1,00;x;MUNICH 160x70 Tischgestell, chrom;MUNICH 160x70 Tischgestell chrom;;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2096;2,00;x;PICO Plexihaube;PICO Plexihaube;;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1176;140,00;pcs;Kleiderbügel mit Steg;Coat-hanger;;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1173;12,00;pcs;Schließfachschrank LOCKER grau;"Locker box light grey, decorative chipboard
4 lockers, 45x50x180";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1176;100,00;pcs;Kleiderbügel mit Steg;Coat-hanger;;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1533;3,00;pcs;Multiständer MONO (mit 1 Stange);"MONO multirack, 1x clothes rail Ø: 16 mm 
stainless steel, WxDxH: 150x45x150cm";MONO (mit 1 Stange);Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2042;1,00;x;MUNICH 160x70 Platte weiß;MUNICH 160x70 Tischplatte weiß;;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2052;1,00;x;MUNICH 130x70 Tischgestell, chrom;MUNICH 130x70 Tischgestell chrom;für Platte 130x70 weiß;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2086;2,00;x;MUNICH 160x70 Tischgestell, chrom;MUNICH 160x70 Tischgestell chrom;für Tischplatten 180x75cm (K3343);Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1175;3,00;pcs;Aktenschrank, lichtgrau;"File cabinet light-grey, decorative chipboard 
lockable, 80x38x190 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1533;4,00;pcs;Multiständer MONO (mit 1 Stange);"MONO multirack, 1x clothes rail Ø: 16 mm 
stainless steel, WxDxH: 150x45x150cm";MONO (mit 1 Stange);Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1025;66,00;pcs;Barhocker CUBE weiß;"CUBE barstool white, faux leather, chrome
WxDxH: 32x32x80cm, SH: 80cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2061;22,00;x;NINO 70 Tischplatte rund weiß;NINO 70 Tischplatte rund weiß;für Stehtischgestell chrom;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2086;4,00;x;MUNICH 160x70 Tischgestell, chrom;MUNICH 160x70 Tischgestell chrom;für Tischplatten 180x75cm (K3343);Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2054;1,00;x;MUNICH 130x70 Platte weiß;MUNICH 130x70 Tischplatte weiß;für Gestell 130x70 chrom;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1214;2,00;pcs;Stuhl MUNICH anthrazit;"Chair MUNICH anthracite, upholstery 
chrome plated, 51-56x85 cm, sh 45 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1214;3,00;pcs;Stuhl MUNICH anthrazit;"Chair MUNICH anthracite, upholstery 
chrome plated, 51-56x85 cm, sh 45 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1166;3,00;pcs;Lagerregal RACK alu;"Storage shelf RACK 5 shelves, aluminium 
95x39x185 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2042;1,00;x;MUNICH 160x70 Platte weiß;MUNICH 160x70 Tischplatte weiß;für Gestell 160x70 chrom;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1094;1,00;pc;Flaschenkühlschrank BOTTLE L;"BOTTLE L bottle refrigerator, capacity 365l 
lockable, WxDxH: 60x60x159cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1022;4,00;pcs;Barhocker LEM weiß;"LEM barstool white, height-adjustable, wood 
matte chrome, WxD: 37x42cm, SH: 66-79cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1166;2,00;pcs;Lagerregal RACK alu;"Storage shelf RACK 5 shelves, aluminium 
95x39x185 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1184;2,00;x;Müllsackständer TRASH;"Trash bag stand incl. 5 trash bags à 120l
Ø 40x75 cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;(MÖB Div);5,00;pcs;[Möbel Div];Hanging mirror ;kauft FAW bei IKEA, wj;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;2055;16,00;x;NINO/ENNO Sitztischgestell H75cm, chrom;"NINO/ENNO Sitztischgestell H 75cm
Chrom Ø: 8cm, Länge: 67cm";;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
Spin Master International B.V., München;Furniture;22.01.2026;04A; 9;A40;1091;1,00;pc;Flaschenkühlschrank BOTTLE L Glass;"BOTTLE L Glass bottle refrigerator with glass 
door, lockable, capacity 360l, WxDxH: 60x60x160cm";Bitte einen neuen/sehr schönen Kühlschrank!;Daniela Voegele;Florian Wider;633809;15.01.2026;Möbel;Spielwarenmesse 2026, Nürnberg | Möbel | Termin 22.01.2026;Spielwarenmesse 2026, Nürnberg;Standardlieferschein;Sophia Kistler;03912;27.01.2026;31.01.2026;;;FALSCH;;;
